Timestamp for sample frequency every 60 min min,Temperature_Fahrenheit,Relative_Humidity
2025-04-02 10:50:00,64.04,49.1
2025-04-02 11:50:00,62.06,45.9
2025-04-02 12:50:00,59.36,51
2025-04-02 13:50:00,59.72,53.5
2025-04-02 14:50:00,60.44,54.6
2025-04-02 15:50:00,61.16,54.5
2025-04-02 16:50:00,62.06,54.5
2025-04-02 17:50:00,62.78,57.1
2025-04-02 18:50:00,62.6,57.3
2025-04-02 19:50:00,62.24,65.3
2025-04-02 20:50:00,61.88,60.4
2025-04-02 21:50:00,61.34,65.7
2025-04-02 22:50:00,61.34,65.1
2025-04-02 23:50:00,61.34,65.4
2025-04-03 00:50:00,62.06,71
2025-04-03 01:50:00,62.96,68.6
2025-04-03 02:50:00,63.32,70.1
2025-04-03 03:50:00,63.68,68.7
2025-04-03 04:50:00,63.5,70.6
2025-04-03 05:50:00,63.5,71.1
2025-04-03 06:50:00,63.5,72.6
2025-04-03 07:50:00,63.5,72.5
2025-04-03 08:50:00,63.86,73.4
2025-04-03 09:50:00,65.12,74.3
2025-04-03 10:50:00,67.82,71
2025-04-03 11:50:00,73.22,69.6
2025-04-03 12:50:00,80.96,60.9
2025-04-03 13:50:00,87.8,55.6
2025-04-03 14:50:00,95.18,46.2
2025-04-03 15:50:00,97.34,44.1
2025-04-03 16:50:00,94.28,39.1
2025-04-03 17:50:00,88.7,41.3
2025-04-03 18:50:00,83.84,43.6
2025-04-03 19:50:00,79.34,46.6
2025-04-03 20:50:00,75.2,50.6
2025-04-03 21:50:00,73.58,50.7
2025-04-03 22:50:00,72.14,51.3
2025-04-03 23:50:00,71.06,53.9
2025-04-04 00:50:00,69.98,55
2025-04-04 01:50:00,68.72,57.6
2025-04-04 02:50:00,68,59.3
2025-04-04 03:50:00,67.82,59.8
2025-04-04 04:50:00,66.92,61.3
2025-04-04 05:50:00,66.38,63.4
2025-04-04 06:50:00,65.48,64.4
2025-04-04 07:50:00,64.58,63.4
2025-04-04 08:50:00,64.76,65.2
2025-04-04 09:50:00,68.18,63.9
2025-04-04 10:50:00,77.9,62.4
2025-04-04 11:50:00,87.98,52.7
2025-04-04 12:50:00,96.98,50
2025-04-04 13:50:00,107.1,42.4
2025-04-04 14:50:00,113.5,36.8
2025-04-04 15:50:00,105.8,32.9
2025-04-04 16:50:00,97.88,35.3
2025-04-04 17:50:00,95.54,35.7
2025-04-04 18:50:00,93.2,36.5
2025-04-04 19:50:00,89.06,37.2
2025-04-04 20:50:00,82.76,40.5
2025-04-04 21:50:00,78.26,42.9
2025-04-04 22:50:00,75.02,45.3
2025-04-04 23:50:00,72.68,47.6
2025-04-05 00:50:00,71.42,50.1
2025-04-05 01:50:00,70.34,55.8
2025-04-05 02:50:00,69.62,57.1
2025-04-05 03:50:00,68.72,61.1
2025-04-05 04:50:00,68.18,63.4
2025-04-05 05:50:00,67.64,63.9
2025-04-05 06:50:00,66.74,59.5
2025-04-05 07:50:00,65.66,58.8
2025-04-05 08:50:00,65.48,63.1
2025-04-05 09:50:00,68.36,63.6
2025-04-05 10:50:00,78.8,58.4
2025-04-05 11:50:00,90.86,48.7
2025-04-05 12:50:00,100.4,45.1
2025-04-05 13:50:00,105.4,35.5
2025-04-05 14:50:00,108,33.4
2025-04-05 15:50:00,106.7,28.5
2025-04-05 16:50:00,101.7,28.8
2025-04-05 17:50:00,97.52,31.2
2025-04-05 18:50:00,95.18,30.7
2025-04-05 19:50:00,89.06,32.9
2025-04-05 20:50:00,83.12,36
2025-04-05 21:50:00,78.98,38.9
2025-04-05 22:50:00,76.46,41.6
2025-04-05 23:50:00,74.66,43.6
2025-04-06 00:50:00,73.22,47.3
2025-04-06 01:50:00,71.96,51.1
2025-04-06 02:50:00,70.88,54
2025-04-06 03:50:00,69.62,56.2
2025-04-06 04:50:00,68.72,58.2
2025-04-06 05:50:00,68,57.3
2025-04-06 06:50:00,65.84,56.4
2025-04-06 07:50:00,64.04,57.6
2025-04-06 08:50:00,63.32,57.4
2025-04-06 09:50:00,63.32,57.7
2025-04-06 10:50:00,64.4,57.6
2025-04-06 11:50:00,66.38,55.9
2025-04-06 12:50:00,68.72,56.7
2025-04-06 13:50:00,70.16,54.7
2025-04-06 14:50:00,69.98,53.1
